KEY,English,French,German,Spanish,Portuegese,Russian,Italian,Vietnamese,Korean,Japanese,Chinese,Thai,Turkish,Indonesian
premium_daily_reward_mail_content_gem,Daily reward for Premium Membership,Récompense quotidienne d'abonnement Premium,Tägliche Belohnung für Premium-Mitgliedschaft,Recompensa diaria por cuenta premium,Recompensa diária da Assinatura Premium,Ежедневная награда за премиум-подписку,,Quà tặng hàng ngày cho thành viên bạch kim,프리미엄 멤버십을 위한 일일 보상,プレミアムメンバーシップのデイリー報酬,高级会员每日奖励,รางวัลประจำวันสำหรับสมาชิกพรีเมียม,Premium Üyelik için günlük ödül,Hadiah harian untuk Anggota Premium
Offer_Premium_Offer_0_name,Premium Membership - 3 days,Abonnement Premium - 3 jours,Premium-Mitgliedschaft – 3 Tage,Cuenta premium - 3 días,Assinatura Premium — 3 dias,Премиум-подписка — 3 дня,,Gói thành viên bạch kim - 3 ngày,프리미엄 멤버십 — 3일,プレミアムメンバーシップ - 3日,高级会员—3天,สมาชิกพรีเมียม - 3 วัน,Premium Üyelik - 3 gün,Anggota Premium - 3 hari
Offer_Premium_Offer_1_name,Premium Membership - 15 days,Abonnement Premium - 15 jours,Premium-Mitgliedschaft – 15 Tage,Cuenta premium - 15 días,Assinatura Premium — 15 dias,Премиум-подписка — 15 дней,,Gói thành viên bạch kim - 15 ngày,프리미엄 멤버십 — 15일,プレミアムメンバーシップ - 15日,高级会员—15天,สมาชิกพรีเมียม - 15 วัน,Premium Üyelik - 15 gün,Anggota Premium - 15 hari
Offer_Chap18_Offer_1_name,Palace Pack,Pack du palais,Palast-Paket,Paquete del palacio,Pacote do palácio,Дворцовый набор,,Gói trang bị cung điện,궁전 팩,宮殿パック,宫殿包,แพ็คพระราชวัง,Saray Paketi,Paket Istana
Offer_Chap19_Offer_1_name,Palace Pack 2,Pack du palais 2,Palast-Paket 2,Paquete del palacio 2,Pacote do palácio 2,Дворцовый набор 2,,Gói trang bị cung điện 2,궁전 팩 2,宮殿パック2,宫殿包2,แพ็คพระราชวัง 2,Saray Paketi 2,Paket Istana 2
UPDATE_1_9_3,,,,,,,,,,,,,,
InvalidGiftCode,Invalid Gift Code,Code cadeau invalide,Ungültiger Geschenkcode,Código regalo no válido,Código de presente inválido,Неверный код подарка,,Giftcode không đúng,유효하지 않은 선물 코드,無効なギフトコード,无效的礼品兑换码,รหัสของขวัญไม่ถูกต้อง,Geçersiz Hediye Kodu,Kode Hadiah Tidak Valid
ExpiredGiftCode,Expired Gift Code,Code cadeau expiré,Abgelaufener Geschenkcode,Código regalo caducado,Código de presente expirado,Истек срок действия кода,,Giftcode hết hạn,만료된 선물 코드,期限切れのギフトコード,过期的礼品兑换码,รหัสของขวัญหมดอายุแล้ว,Süresi Dolmuş Hediye Kodu,Masa Berlaku Kode Hadiah Habis
UsedGiftCode,This gift code has already been used.,Ce code cadeau a déjà été utilisé.,Dieser Geschenkcode wurde bereits verwendet.,Este código regalo ya se ha usado.,O código de presente já foi usado.,Этот код подарка уже использовался.,,Giftcode đã sử dụng rồi,이 선물 코드는 이미 사용되었습니다.,このギフトコードはすでに使用されています。,此礼品兑换码已被用过。,รหัสของขวัญนี้ถูกใช้ไปแล้ว,Bu hediye kodu daha önce kullanılmış.,Kode hadiah ini telah digunakan.
ClaimedGiftCode,You have already claimed this gift code.,Vous avez déjà réclamé ce code cadeau.,Du hast diesen Geschenkcode bereits verwendet.,Ya has canjeado este código regalo.,Você já resgatou este código de presente.,Подарок по этому коду уже у тебя.,,Bạn đã nhận thưởng loại giftcode này rồi,이 선물 코드를 이미 교환했습니다.,すでにこのギフトコードを受け取っています。,你已经领取了此礼品兑换码。,คุณรับของจากรหัสของขวัญนี้ไปแล้ว,Bu hediye kodunu daha önce kullandın.,Kamu telah mengambil kode hadiah ini.
Offer_H_Necromancer_Offer_name,Death,Mort,Tod,Muerte,Morte,Смерть,,Death,데스,デス,死亡,มรณา,Ölüm,Kematian
Offer_H_Vayne_Offer_name,Meowth,Miaouss,Miauz,Marramiau,Miauthur,Мяут,,Meowth,냐옹스,ニャース,喵喵,เหมียว,Meowth,Meowth
UPDATE_110_0,,,,,,,,,,,,,,
EventNotAvailableNow,The event is currently unavailable,L'événement est actuellement indisponible,Das Event ist derzeit nicht verfügbar.,El evento no está disponible en estos momentos,Evento indisponível no momento,Событие сейчас недоступно,,Sự kiện chưa mở,이 이벤트는 현재 이용할 수 없습니다.,このイベントは現在利用できません,该活动目前不可用,อีเวนต์ยังเล่นไม่ได้ในขณะนี้,Bu etkinlik şu anda mevcut değil,Event saat ini tidak tersedia
NotEnoughXmasLevel,Not enough level items,Objets de niveau insuffisants,Nicht genug Stufengegenstände,Objetos de nivel insuficientes,Itens de nível insuficientes,Недостаточно предметов этого уровня,,Không đủ cấp độ vật phẩm,레벨 아이템 부족,レベルアイテムが足りません,等级物品不足,เลเวลของไอเทมไม่เพียงพอ,Yeterli seviye eşyası yok,Item level tidak cukup
NotEnoughBongTuyet,Not enough resources,Ressources insuffisantes,Nicht genug Ressourcen,Recursos insuficientes,Recursos insuficientes,Недостаточно ресурсов,,Không đủ tài nguyên,자원 부족,資源が足りません,资源不足,ทรัพยากรไม่เพียงพอ,Yeterli kaynak yok,Sumber daya tidak cukup
UPDATE_111_0,,,,,,,,,,,,,,
ThachDauJoinTimeLimit,Arena will be open in {0:00} minutes,,,,,,,,,,,,,
ThachDauPlayTimeLimit,Arena will be lock {0} hour(s) before ending time,,,,,,,,,,,,,
Offer_TruongThanh_name,Growth fund package,Growth fund package,Growth fund package,Growth fund package,Growth fund package,Growth fund package,Growth fund package,Growth fund package,Growth fund package,Growth fund package,Growth fund package,Growth fund package,Growth fund package,Growth fund package
Offer_TetEventBattlePass_name,Lunar new year ticket,,,,,,,,,,,,,
Offer_H_Captain_Offer_name,Bjorn,Bjorn,Bjorn,Bjorn,Bjorn,Бьорн,,Bjorn,비요른,ビョルン,比约恩,บิยอร์น,Bjorn,Bjorn
Offer_H_IronMan_Offer_name,Alpha,Alpha,Alpha,Alfa,Alpha,Альфа,,Alpha,알파,アルファ,阿尔法,อัลฟา,Alfa,Alfa
